2021-02-10 00:33:19,090 Extension .CR2 of IMG_8821.CR2 not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .CR2 of IMG_8822.CR2 not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .CR2 of IMG_8823.CR2 not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .xmp of IMG_8823.xmp not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .CR2 of IMG_8824.CR2 not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .CR2 of IMG_8825.CR2 not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .CR2 of IMG_8826.CR2 not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .CR2 of IMG_8827.CR2 not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .CR2 of IMG_8828.CR2 not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .CR2 of IMG_8829.CR2 not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .CR2 of IMG_8830.CR2 not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .CR2 of IMG_8831.CR2 not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .CR2 of IMG_8832.CR2 not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .CR2 of IMG_8833.CR2 not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .CR2 of IMG_8834.CR2 not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .CR2 of IMG_8835.CR2 not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .CR2 of IMG_8836.CR2 not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .CR2 of IMG_8837.CR2 not recognized!, skipping...
2021-02-10 00:33:19,090 Extension .CR2 of IMG_8838.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8839.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8840.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8841.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8842.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8843.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8844.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8845.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8846.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8847.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8848.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8849.CR2 not recognized!, skipping...
2021-02-10 00:33:19,091 Extension .CR2 of IMG_8850.CR2 not recognized!, skipping...
